"NA_L3CODE","fm.mean","Wind.mean"
"10.1.2",9.99004730823087,3.38155791732481
"10.1.3",8.66803830094928,3.23544167992766
"10.1.4",9.6567040612413,3.20148536266104
"10.1.5",7.63512209165738,3.25344665119584
"10.1.6",8.20775392179955,3.25478743379464
"10.1.7",8.47792827159001,3.78742524498594
"10.1.8",8.98214996035337,3.07920063252158
"10.2.1",5.42241981534269,3.81141492013361
"10.2.2",5.99665262937231,3.26927318678492
"10.2.4",8.9879054036275,3.85504421422143
"11.1.1",10.3884081910668,3.19600086418157
"11.1.2",10.0244275483709,3.349101754185
"11.1.3",8.57900421443093,3.158721959005
"12.1.1",7.42005821212769,3.88846199435228
"13.1.1",9.21091933023052,3.96803748170296
"15.4.1",18.0080866049877,3.27904449722926
"5.2.1",14.6110412679371,4.71715616301299
"5.2.2",14.58463237047,4.49960058817979
"5.3.1",15.0061466851761,4.39979497207251
"5.3.3",15.0651789146274,4.62483652495671
"6.2.10",11.8179079716047,3.83264334259077
"6.2.11",10.7687393374346,3.71378032683781
"6.2.12",9.54670863187303,3.10142932030853
"6.2.13",9.05457304681974,3.39422961304609
"6.2.14",10.5234329744167,3.75840821119281
"6.2.15",10.2047637584723,3.28804111881523
"6.2.3",11.8121059400728,3.37382285609433
"6.2.4",11.7972972104673,4.18882619786203
"6.2.5",11.9801903038336,3.21944332554549
"6.2.7",12.4508271305023,3.36617476887112
"6.2.8",11.3678019984423,3.37452616228474
"6.2.9",10.5016794142402,3.25479562366976
"7.1.7",16.1919235170047,3.04406864122244
"7.1.8",17.0153683459269,4.4887328520306
"7.1.9",15.1535471970579,3.33098585547431
"8.1.1",15.227599495371,4.30627192212041
"8.1.10",15.8349594282442,4.74656751607822
"8.1.3",15.5135906159477,4.85127979595953
"8.1.4",14.7668844302466,4.67592224675455
"8.1.5",15.033619287269,4.48261135242042
"8.1.6",15.119983748938,4.95303858867365
"8.1.7",14.467154661724,4.25010445206169
"8.1.8",14.4265415520792,4.41224448652142
"8.2.1",15.6797883454393,4.72600620091107
"8.2.2",15.6236699772073,4.44598219359968
"8.2.3",15.5995654213043,4.67661214664457
"8.2.4",17.1429538435436,4.16316881816721
"8.3.1",14.5824797018445,4.23901303515974
"8.3.2",15.8634991482791,4.11373620881712
"8.3.3",16.3682558106463,4.02731739892892
"8.3.4",15.8349916520401,3.75292871264794
"8.3.5",16.1650607611641,3.86611228123661
"8.3.6",16.3009119169978,4.15979110869997
"8.3.7",16.2033663643752,3.84927974072809
"8.3.8",15.5336351392749,3.99526035072106
"8.4.1",16.426619930317,3.82674751811456
"8.4.2",16.3843045102864,4.2607116084249
"8.4.3",16.3928127205325,4.12151621656653
"8.4.4",16.3459954749802,4.64100158943326
"8.4.5",14.7315908083351,4.52489299643507
"8.4.6",15.0190135363685,4.51600937147775
"8.4.7",15.0392749778734,4.19556269701602
"8.4.8",15.8002998590031,4.45754786606436
"8.4.9",16.8963929966889,4.01582381254971
"8.5.1",15.7697568915989,4.29210764882063
"8.5.2",16.2292025995619,3.72501426722119
"8.5.3",16.937816150172,3.72175547402808
"8.5.4",15.1421376920922,4.55386495187603
"9.2.1",15.2353603178744,4.50960334303653
"9.2.2",14.6983290743272,4.47820401522786
"9.2.3",15.430788218296,4.76150428157089
"9.2.4",14.8974652449894,4.73555425229168
"9.3.1",14.0063738300055,4.11732959418718
"9.3.3",12.474252100418,3.70520388845152
"9.3.4",14.1896997429249,4.37924963247107
"9.4.1",11.9196329518724,4.37884142516524
"9.4.2",13.9037953632272,4.41374048154966
"9.4.3",11.6986009056096,4.25339846762123
"9.4.4",14.5550036344535,4.72870514549581
"9.4.5",14.4573553365579,4.49064333759627
"9.4.6",13.9302696682604,4.5509186095972
"9.4.7",14.9666679284289,4.15793622223963
"9.5.1",17.4240242868263,4.16565369072146
"9.6.1",14.5590016437894,4.06886607518638
